,RF_Run_0_CV_0,RF_Run_0_CV_1,RF_Run_0_CV_2,RF_Run_0_CV_3,RF_Run_0_CV_4,RF_Run_1_CV_0,RF_Run_1_CV_1,RF_Run_1_CV_2,RF_Run_1_CV_3,RF_Run_1_CV_4,RF_Run_2_CV_0,RF_Run_2_CV_1,RF_Run_2_CV_2,RF_Run_2_CV_3,RF_Run_2_CV_4,RF_Run_3_CV_0,RF_Run_3_CV_1,RF_Run_3_CV_2,RF_Run_3_CV_3,RF_Run_3_CV_4,RF_Run_4_CV_0,RF_Run_4_CV_1,RF_Run_4_CV_2,RF_Run_4_CV_3,RF_Run_4_CV_4
12,OTU_F_56880,OTU_F_17467,OTU_B_40108,OTU_F_23990,OTU_B_121783,OTU_B_40226,OTU_B_21438,OTU_F_23990,OTU_B_731894,OTU_B_21438,OTU_B_731894,OTU_F_38330,OTU_F_31566,OTU_B_54425,OTU_F_56880,OTU_B_54425,OTU_F_56880,OTU_B_40091,OTU_B_15904,OTU_B_21438,OTU_F_23990,OTU_F_39466,OTU_F_25850,OTU_F_38330,OTU_B_21457
13,OTU_B_40226,OTU_F_39466,OTU_F_30448,OTU_B_40226,OTU_B_40226,OTU_F_39466,OTU_F_17467,OTU_B_56945,OTU_B_54425,OTU_F_39466,OTU_B_54425,OTU_B_40226,OTU_F_38330,OTU_F_39466,OTU_F_38330,OTU_F_17467,OTU_F_38330,OTU_B_64987,OTU_F_81595,OTU_F_23990,OTU_F_56880,OTU_B_65162,OTU_F_30509,OTU_B_40226,OTU_B_40226
14,OTU_F_31566,OTU_F_56880,OTU_F_39466,OTU_F_56880,OTU_B_731894,OTU_B_40108,OTU_B_76519,OTU_F_30509,OTU_B_64987,OTU_B_56945,OTU_F_38330,OTU_F_81595,OTU_B_65162,OTU_F_30509,OTU_F_25850,OTU_F_23990,OTU_B_21438,OTU_B_54425,OTU_F_25850,OTU_F_38330,OTU_B_17455,OTU_F_17467,OTU_B_21438,OTU_F_23990,OTU_F_23990
15,OTU_F_39466,OTU_B_40226,OTU_F_38330,OTU_B_65162,OTU_F_81595,OTU_B_21457,OTU_F_39466,OTU_F_81595,OTU_B_40108,OTU_F_81595,OTU_B_65162,OTU_F_17467,OTU_F_23990,OTU_F_30394,OTU_B_121783,OTU_B_76519,OTU_B_40108,OTU_F_30448,OTU_F_38330,OTU_F_25850,OTU_B_76519,OTU_B_54425,OTU_F_39466,OTU_B_121783,OTU_B_56945
16,OTU_F_38330,OTU_B_40091,OTU_B_17455,OTU_F_38330,OTU_B_40091,OTU_F_56880,OTU_B_731894,OTU_B_54425,OTU_B_21434,OTU_B_54425,OTU_F_23990,OTU_F_23990,OTU_B_56945,OTU_F_25850,OTU_B_64987,OTU_B_65162,OTU_B_54425,OTU_B_65162,OTU_F_30509,OTU_B_54425,OTU_F_68256,OTU_F_23990,OTU_B_65162,OTU_F_30448,OTU_F_38330
17,OTU_B_17455,OTU_B_21438,OTU_B_14674,OTU_F_81595,OTU_F_38330,OTU_F_68256,OTU_F_31566,OTU_F_39466,OTU_F_23990,OTU_B_121783,OTU_F_30509,OTU_B_54425,OTU_F_56880,OTU_F_23990,OTU_B_15904,OTU_B_40226,OTU_F_31566,OTU_F_38330,OTU_B_64987,OTU_F_81595,OTU_B_40226,OTU_B_40091,OTU_F_31566,OTU_B_731894,OTU_B_76519
18,OTU_B_64987,OTU_B_54425,OTU_F_56880,OTU_B_22182,OTU_F_40614,OTU_B_54425,OTU_B_56945,OTU_B_731894,OTU_B_21438,OTU_F_38330,OTU_F_56880,OTU_F_40614,OTU_F_39466,OTU_B_40226,OTU_B_731894,OTU_B_40108,OTU_B_40226,OTU_F_30509,OTU_F_40614,OTU_B_731894,OTU_B_21438,OTU_F_56880,OTU_B_731894,OTU_F_39466,OTU_F_17467
19,OTU_B_54425,OTU_B_56945,OTU_F_82508,OTU_B_57075,OTU_F_56880,OTU_F_31566,OTU_B_65162,OTU_B_21438,OTU_F_39466,OTU_B_40226,OTU_B_76519,OTU_B_65162,OTU_F_81595,OTU_F_40614,OTU_B_54425,OTU_B_17455,OTU_F_17467,OTU_F_40614,OTU_B_54425,OTU_B_121783,OTU_B_65162,OTU_F_31566,OTU_F_81595,OTU_F_30509,OTU_B_17455
20,OTU_B_78969,OTU_F_30429,OTU_B_21434,OTU_B_21457,OTU_F_39466,OTU_B_731894,OTU_B_54487,OTU_F_56880,OTU_B_40226,OTU_F_30448,OTU_F_30486,OTU_B_56945,OTU_B_14674,OTU_B_65162,OTU_F_31566,OTU_B_21457,OTU_F_23990,OTU_F_17467,OTU_B_22182,OTU_B_65162,OTU_F_31566,OTU_B_21438,OTU_F_38330,OTU_F_82508,OTU_B_21438
21,OTU_B_731894,OTU_B_121783,OTU_B_121783,OTU_B_17455,OTU_F_30394,OTU_B_17455,OTU_F_68256,OTU_B_65162,OTU_B_67783,OTU_F_30509,OTU_F_68256,OTU_B_40091,OTU_B_54425,OTU_B_21457,OTU_B_40226,OTU_B_56945,OTU_B_56945,OTU_F_31566,OTU_B_56945,OTU_F_56880,OTU_F_30509,OTU_B_40226,OTU_F_17467,OTU_B_64987,OTU_F_25850
