,MLPNN_Run_0_CV_0,MLPNN_Run_0_CV_1,MLPNN_Run_0_CV_2,MLPNN_Run_0_CV_3,MLPNN_Run_0_CV_4,MLPNN_Run_1_CV_0,MLPNN_Run_1_CV_1,MLPNN_Run_1_CV_2,MLPNN_Run_1_CV_3,MLPNN_Run_1_CV_4,MLPNN_Run_2_CV_0,MLPNN_Run_2_CV_1,MLPNN_Run_2_CV_2,MLPNN_Run_2_CV_3,MLPNN_Run_2_CV_4,MLPNN_Run_3_CV_0,MLPNN_Run_3_CV_1,MLPNN_Run_3_CV_2,MLPNN_Run_3_CV_3,MLPNN_Run_3_CV_4,MLPNN_Run_4_CV_0,MLPNN_Run_4_CV_1,MLPNN_Run_4_CV_2,MLPNN_Run_4_CV_3,MLPNN_Run_4_CV_4
52,OTU_F_103950,OTU_F_110078,OTU_F_122647,OTU_B_56945,OTU_B_22182,OTU_F_38330,OTU_F_30407,OTU_B_64987,OTU_B_54487,OTU_F_50870,OTU_F_107945,OTU_F_55643,OTU_F_62992,OTU_B_22182,OTU_F_68256,OTU_F_130819,OTU_B_123159,OTU_F_50870,OTU_B_553579,OTU_B_40091,OTU_B_21457,OTU_F_25540,OTU_F_72950,OTU_F_107945,OTU_F_1435
53,OTU_F_99195,OTU_F_30553,OTU_F_62992,OTU_F_103950,OTU_F_99195,OTU_B_57059,OTU_F_31350,OTU_F_52656,OTU_F_40080,OTU_B_57059,OTU_F_23990,OTU_F_40080,OTU_B_14674,OTU_F_1551,OTU_F_129651,OTU_F_37473,OTU_F_30553,OTU_F_72950,OTU_B_14674,OTU_F_110078,OTU_F_107945,OTU_F_12349,OTU_F_30486,OTU_B_67783,OTU_F_31350
54,OTU_B_21457,OTU_B_170149,OTU_F_30854,OTU_F_31350,OTU_B_15904,OTU_F_25540,OTU_B_27711,OTU_F_30486,OTU_B_731894,OTU_F_31301,OTU_F_110078,OTU_B_731894,OTU_F_72950,OTU_F_52656,OTU_F_122647,OTU_B_14674,OTU_B_40226,OTU_F_17467,OTU_B_38079,OTU_F_38555,OTU_B_56945,OTU_F_122647,OTU_B_14674,OTU_B_21457,OTU_B_57075
55,OTU_B_40091,OTU_F_103950,OTU_F_107945,OTU_F_76464,OTU_B_56945,OTU_F_1551,OTU_F_103950,OTU_B_22182,OTU_B_416914,OTU_F_40080,OTU_F_30448,OTU_F_68259,OTU_B_123159,OTU_B_59739,OTU_B_57059,OTU_F_31350,OTU_B_22182,OTU_B_54487,OTU_F_25540,OTU_B_56945,OTU_F_40614,OTU_F_31301,OTU_F_17467,OTU_F_30407,OTU_F_30942
56,OTU_F_1551,OTU_F_31350,OTU_F_30925,OTU_B_57075,OTU_F_31566,OTU_B_54487,OTU_F_107945,OTU_F_30553,OTU_B_64987,OTU_F_107945,OTU_F_38330,OTU_F_1435,OTU_F_17467,OTU_B_140508,OTU_B_21434,OTU_F_12349,OTU_B_140508,OTU_F_62992,OTU_F_107945,OTU_B_29197,OTU_B_27711,OTU_B_38079,OTU_B_27711,OTU_F_38826,OTU_F_30448
57,OTU_F_40614,OTU_B_140508,OTU_F_50870,OTU_B_29197,OTU_F_37473,OTU_F_30553,OTU_F_40614,OTU_F_99195,OTU_B_67783,OTU_B_56945,OTU_F_68259,OTU_B_42446,OTU_F_31350,OTU_F_31350,OTU_F_30553,OTU_F_107945,OTU_F_122647,OTU_F_1435,OTU_B_29197,OTU_F_31350,OTU_B_29197,OTU_B_416914,OTU_B_57075,OTU_B_57059,OTU_F_68259
58,OTU_B_42446,OTU_F_1435,OTU_F_30553,OTU_B_57059,OTU_B_57059,OTU_B_57075,OTU_B_416914,OTU_F_30854,OTU_F_99195,OTU_F_30925,OTU_F_40614,OTU_F_30925,OTU_B_54523,OTU_F_30407,OTU_F_247,OTU_F_40614,OTU_F_130819,OTU_F_40614,OTU_F_1551,OTU_B_123159,OTU_F_30553,OTU_B_23956,OTU_F_62992,OTU_F_129651,OTU_B_29197
59,OTU_B_64987,OTU_F_129651,OTU_F_52656,OTU_F_15700,OTU_F_30395,OTU_F_30448,OTU_B_57059,OTU_B_42446,OTU_F_38826,OTU_F_30942,OTU_B_21434,OTU_B_23956,OTU_F_50873,OTU_F_30448,OTU_F_30486,OTU_F_30448,OTU_F_99195,OTU_B_76519,OTU_F_68259,OTU_F_30942,OTU_F_30942,OTU_B_170149,OTU_B_731894,OTU_F_110078,OTU_B_40091
60,OTU_F_30553,OTU_F_247,OTU_B_64987,OTU_B_21438,OTU_B_553579,OTU_F_50873,OTU_F_68259,OTU_F_130819,OTU_B_21434,OTU_F_110078,OTU_F_1435,OTU_B_416914,OTU_B_27711,OTU_B_40091,OTU_F_99195,OTU_B_59739,OTU_B_29197,OTU_F_12349,OTU_F_103950,OTU_F_129651,OTU_F_50870,OTU_B_123159,OTU_B_54487,OTU_F_15700,OTU_F_50870
61,OTU_B_57059,OTU_B_40091,OTU_B_21434,OTU_F_25540,OTU_F_30553,OTU_B_17455,OTU_B_56945,OTU_F_76464,OTU_B_23956,OTU_F_37473,OTU_F_99195,OTU_B_57059,OTU_F_103950,OTU_F_40080,OTU_F_68259,OTU_F_1435,OTU_B_27711,OTU_B_57059,OTU_F_76464,OTU_F_30553,OTU_F_68259,OTU_F_40614,OTU_B_21434,OTU_B_416914,OTU_F_30553
62,OTU_F_1435,OTU_B_27711,OTU_F_40080,OTU_B_54487,OTU_B_64987,OTU_F_99195,OTU_B_170149,OTU_F_50870,OTU_B_121783,OTU_B_59739,OTU_F_130819,OTU_B_170149,OTU_B_57075,OTU_B_57075,OTU_B_67783,OTU_B_56945,OTU_B_54523,OTU_F_99195,OTU_F_30407,OTU_B_170149,OTU_F_103950,OTU_B_29197,OTU_F_130819,OTU_F_130819,OTU_F_130819
63,OTU_B_21434,OTU_F_107945,OTU_B_170149,OTU_B_42446,OTU_B_27711,OTU_B_59739,OTU_F_30553,OTU_B_38079,OTU_F_40614,OTU_B_17455,OTU_B_170149,OTU_F_12349,OTU_B_56945,OTU_F_30553,OTU_F_130819,OTU_F_31566,OTU_F_38330,OTU_F_38826,OTU_B_59739,OTU_F_31301,OTU_B_40091,OTU_B_59739,OTU_F_68259,OTU_B_731894,OTU_B_416914
64,OTU_F_37473,OTU_B_14674,OTU_F_247,OTU_B_21457,OTU_F_40614,OTU_B_29197,OTU_F_130819,OTU_B_21454,OTU_F_30502,OTU_B_22182,OTU_F_247,OTU_F_108778,OTU_B_21454,OTU_B_29197,OTU_B_64987,OTU_B_40091,OTU_F_136641,OTU_B_22182,OTU_B_57075,OTU_F_103950,OTU_F_37473,OTU_B_67783,OTU_F_15700,OTU_F_247,OTU_F_37473
65,OTU_F_129651,OTU_B_21454,OTU_B_57075,OTU_F_129651,OTU_B_59739,OTU_F_37473,OTU_B_21454,OTU_B_57075,OTU_B_59739,OTU_F_130819,OTU_F_30553,OTU_F_52656,OTU_F_30448,OTU_F_40614,OTU_B_731894,OTU_F_99195,OTU_F_30925,OTU_F_97887,OTU_B_27711,OTU_B_73408,OTU_F_99195,OTU_B_17455,OTU_F_76464,OTU_F_30553,OTU_B_59739
66,OTU_B_731894,OTU_F_31566,OTU_F_31350,OTU_B_121783,OTU_F_30942,OTU_F_31350,OTU_B_57075,OTU_F_129651,OTU_B_21454,OTU_B_21438,OTU_B_40091,OTU_F_30395,OTU_F_30395,OTU_B_416914,OTU_B_140508,OTU_F_1551,OTU_B_54487,OTU_B_56945,OTU_F_23990,OTU_F_40614,OTU_F_130819,OTU_B_64987,OTU_F_247,OTU_B_59739,OTU_B_14674
67,OTU_B_57075,OTU_B_21434,OTU_B_17455,OTU_B_22182,OTU_F_30486,OTU_B_54523,OTU_F_31566,OTU_F_30395,OTU_F_31566,OTU_B_67783,OTU_F_52656,OTU_B_17455,OTU_F_31566,OTU_B_123159,OTU_F_50870,OTU_B_21434,OTU_F_40080,OTU_F_15700,OTU_F_130819,OTU_B_38079,OTU_B_21434,OTU_F_30553,OTU_B_29197,OTU_B_56945,OTU_F_129651
68,OTU_B_23956,OTU_B_59739,OTU_F_40614,OTU_B_14674,OTU_F_15700,OTU_F_68259,OTU_F_50870,OTU_B_731894,OTU_B_76519,OTU_B_123159,OTU_F_1551,OTU_B_76519,OTU_F_30553,OTU_F_108778,OTU_F_12349,OTU_B_553579,OTU_F_40614,OTU_F_130819,OTU_F_15700,OTU_B_21434,OTU_F_30395,OTU_F_1435,OTU_B_21454,OTU_F_40614,OTU_F_40614
69,OTU_F_15700,OTU_B_731894,OTU_F_1551,OTU_F_17467,OTU_F_247,OTU_F_129651,OTU_B_59739,OTU_F_122647,OTU_F_30553,OTU_B_23956,OTU_F_31566,OTU_F_40614,OTU_B_67783,OTU_F_50870,OTU_B_23956,OTU_B_21454,OTU_F_76464,OTU_B_17455,OTU_B_121783,OTU_F_68259,OTU_B_57075,OTU_F_107945,OTU_B_170149,OTU_B_14674,OTU_B_21434
70,OTU_F_30395,OTU_B_78969,OTU_B_29197,OTU_B_731894,OTU_F_130819,OTU_F_31301,OTU_B_731894,OTU_F_50873,OTU_B_57075,OTU_F_108778,OTU_F_50870,OTU_F_130819,OTU_B_121783,OTU_F_130819,OTU_F_110078,OTU_F_30486,OTU_B_57059,OTU_B_73408,OTU_B_21454,OTU_F_52656,OTU_B_23956,OTU_F_68259,OTU_B_140508,OTU_F_31301,OTU_F_103950
71,OTU_B_17455,OTU_F_31301,OTU_B_26279,OTU_F_30553,OTU_F_31301,OTU_F_72950,OTU_B_29197,OTU_B_170149,OTU_F_110078,OTU_F_40614,OTU_B_57059,OTU_F_31301,OTU_B_57059,OTU_B_21454,OTU_B_59739,OTU_B_23956,OTU_B_21454,OTU_B_21438,OTU_F_31301,OTU_B_21454,OTU_F_1551,OTU_F_108778,OTU_B_57059,OTU_B_23956,OTU_B_57059
72,OTU_B_54523,OTU_B_57059,OTU_B_57059,OTU_F_72950,OTU_B_29197,OTU_F_130819,OTU_B_64987,OTU_F_40614,OTU_B_57059,OTU_F_1435,OTU_B_57075,OTU_B_14674,OTU_B_21434,OTU_B_21438,OTU_F_107945,OTU_F_15700,OTU_B_21434,OTU_F_30925,OTU_F_52653,OTU_B_17455,OTU_B_17455,OTU_F_130819,OTU_F_40080,OTU_B_64987,OTU_F_76464
73,OTU_F_130819,OTU_F_130819,OTU_B_73408,OTU_B_64987,OTU_F_108778,OTU_B_21434,OTU_F_12349,OTU_B_56945,OTU_B_54523,OTU_B_64987,OTU_F_108778,OTU_B_21457,OTU_F_247,OTU_F_31301,OTU_B_57075,OTU_B_64987,OTU_F_31566,OTU_F_31301,OTU_B_140508,OTU_B_59739,OTU_F_30925,OTU_B_21434,OTU_F_30925,OTU_F_50870,OTU_B_21454
74,OTU_F_136641,OTU_F_52656,OTU_B_59739,OTU_F_136641,OTU_B_40091,OTU_F_12349,OTU_B_23956,OTU_B_67783,OTU_B_14674,OTU_F_30395,OTU_B_59739,OTU_B_73408,OTU_F_76464,OTU_B_56945,OTU_B_21454,OTU_B_731894,OTU_B_64987,OTU_B_23956,OTU_F_247,OTU_B_78969,OTU_F_76464,OTU_F_30502,OTU_B_42446,OTU_B_21434,OTU_F_31566
75,OTU_B_21454,OTU_F_37473,OTU_F_38826,OTU_F_21449,OTU_B_21434,OTU_B_56945,OTU_F_76464,OTU_F_108778,OTU_B_123159,OTU_B_14674,OTU_B_731894,OTU_B_67783,OTU_B_54487,OTU_B_21434,OTU_F_52656,OTU_F_247,OTU_B_57075,OTU_B_29197,OTU_B_23956,OTU_B_64987,OTU_F_108778,OTU_F_25850,OTU_F_37473,OTU_F_99195,OTU_B_170149
76,OTU_B_59739,OTU_B_123159,OTU_F_129651,OTU_F_107945,OTU_B_731894,OTU_F_76464,OTU_F_15700,OTU_F_37473,OTU_F_30925,OTU_F_247,OTU_B_21454,OTU_F_17467,OTU_B_64987,OTU_F_15700,OTU_F_15700,OTU_B_123159,OTU_F_15700,OTU_F_129651,OTU_F_108778,OTU_B_57075,OTU_F_31566,OTU_B_26418,OTU_F_12349,OTU_B_26418,OTU_B_56945
77,OTU_F_31301,OTU_F_30925,OTU_F_15700,OTU_F_130819,OTU_F_76464,OTU_F_136641,OTU_F_99195,OTU_B_21434,OTU_B_26279,OTU_F_129651,OTU_F_103950,OTU_F_37473,OTU_B_26279,OTU_F_31566,OTU_B_26279,OTU_F_76464,OTU_F_247,OTU_B_57075,OTU_B_56945,OTU_B_416914,OTU_F_31301,OTU_B_22182,OTU_B_123159,OTU_B_21454,OTU_F_30395
78,OTU_B_67783,OTU_B_23956,OTU_B_21454,OTU_F_52656,OTU_B_170149,OTU_B_42446,OTU_F_30502,OTU_B_59739,OTU_F_52656,OTU_F_136641,OTU_F_30395,OTU_F_52653,OTU_F_15700,OTU_F_30502,OTU_B_78969,OTU_F_108778,OTU_B_731894,OTU_B_26279,OTU_F_31566,OTU_F_76464,OTU_B_59739,OTU_B_14674,OTU_F_129651,OTU_B_26279,OTU_F_110078
79,OTU_B_29197,OTU_B_42446,OTU_B_731894,OTU_F_40614,OTU_F_1551,OTU_B_121783,OTU_F_108778,OTU_B_57059,OTU_F_1551,OTU_B_57075,OTU_F_129651,OTU_B_57075,OTU_F_129651,OTU_B_64987,OTU_B_14674,OTU_F_30553,OTU_F_129651,OTU_B_21457,OTU_F_129651,OTU_F_30502,OTU_F_129651,OTU_B_21457,OTU_B_67783,OTU_F_30502,OTU_F_30925
80,OTU_F_12349,OTU_B_57075,OTU_B_23956,OTU_B_21454,OTU_F_30925,OTU_B_76519,OTU_F_31301,OTU_B_123159,OTU_B_42446,OTU_F_50873,OTU_F_50873,OTU_F_50873,OTU_F_50870,OTU_B_23956,OTU_F_50873,OTU_F_30395,OTU_F_30395,OTU_F_247,OTU_F_30502,OTU_F_40080,OTU_B_26418,OTU_B_121783,OTU_F_31301,OTU_F_52656,OTU_B_731894
81,OTU_F_31566,OTU_B_56945,OTU_F_99195,OTU_F_108778,OTU_B_21438,OTU_B_64987,OTU_F_1551,OTU_F_31566,OTU_B_78969,OTU_F_68259,OTU_F_30925,OTU_F_129651,OTU_B_17455,OTU_B_76519,OTU_F_1551,OTU_F_136641,OTU_F_108778,OTU_F_122647,OTU_F_37473,OTU_B_731894,OTU_F_247,OTU_B_57075,OTU_B_121783,OTU_F_76464,OTU_B_64987
82,OTU_F_30502,OTU_F_136641,OTU_B_56945,OTU_B_21434,OTU_B_23956,OTU_B_731894,OTU_B_21438,OTU_F_31301,OTU_B_170149,OTU_F_31566,OTU_B_123159,OTU_F_30502,OTU_F_1551,OTU_B_57059,OTU_F_30925,OTU_B_57075,OTU_B_170149,OTU_B_67783,OTU_B_64987,OTU_F_130819,OTU_B_123159,OTU_B_56945,OTU_F_50870,OTU_B_57075,OTU_F_31301
83,OTU_F_247,OTU_F_50873,OTU_F_31301,OTU_B_73408,OTU_B_57075,OTU_B_123159,OTU_F_37473,OTU_B_29197,OTU_B_17455,OTU_F_30502,OTU_F_136641,OTU_F_107945,OTU_B_73408,OTU_B_170149,OTU_B_170149,OTU_F_30925,OTU_B_56945,OTU_B_59739,OTU_B_54523,OTU_F_107945,OTU_B_76519,OTU_B_42446,OTU_F_31566,OTU_B_123159,OTU_F_108778
84,OTU_F_52653,OTU_B_64987,OTU_F_30502,OTU_F_50870,OTU_B_123159,OTU_B_14674,OTU_F_129651,OTU_F_30925,OTU_F_94989,OTU_F_21449,OTU_F_94989,OTU_B_38079,OTU_F_37473,OTU_B_42446,OTU_B_121783,OTU_B_57059,OTU_F_30502,OTU_B_14674,OTU_B_26279,OTU_B_54523,OTU_B_21454,OTU_B_54523,OTU_B_54523,OTU_B_78969,OTU_B_17455
85,OTU_F_50870,OTU_F_15700,OTU_B_121783,OTU_B_17455,OTU_B_21454,OTU_B_26418,OTU_B_123159,OTU_F_12349,OTU_F_247,OTU_B_26418,OTU_F_31301,OTU_B_22182,OTU_B_731894,OTU_F_99195,OTU_B_123159,OTU_F_129651,OTU_B_121783,OTU_F_108778,OTU_B_78969,OTU_F_31566,OTU_B_21438,OTU_F_94989,OTU_B_56945,OTU_F_108778,OTU_B_42446
86,OTU_F_50873,OTU_F_68259,OTU_B_54523,OTU_F_30925,OTU_F_50873,OTU_B_78969,OTU_B_40091,OTU_F_247,OTU_F_76464,OTU_B_76519,OTU_B_23956,OTU_B_78969,OTU_B_76519,OTU_B_54523,OTU_F_52653,OTU_F_50873,OTU_B_76519,OTU_F_37473,OTU_F_50870,OTU_F_108778,OTU_B_26279,OTU_B_26279,OTU_F_52653,OTU_B_170149,OTU_B_21438
87,OTU_F_108778,OTU_F_76464,OTU_F_108778,OTU_F_247,OTU_B_54487,OTU_F_15700,OTU_B_17455,OTU_B_17455,OTU_F_37473,OTU_B_21457,OTU_B_17455,OTU_B_21434,OTU_F_108778,OTU_B_121783,OTU_B_42446,OTU_B_54523,OTU_F_1551,OTU_F_30502,OTU_F_50873,OTU_B_23956,OTU_B_57059,OTU_B_76519,OTU_B_21438,OTU_F_30925,OTU_F_94989
88,OTU_B_56945,OTU_F_30502,OTU_B_416914,OTU_F_50873,OTU_B_54523,OTU_B_21454,OTU_F_30925,OTU_B_78969,OTU_B_26418,OTU_B_121783,OTU_F_30502,OTU_B_54523,OTU_F_30502,OTU_F_129651,OTU_F_30502,OTU_B_76519,OTU_F_50873,OTU_B_78969,OTU_B_731894,OTU_B_21438,OTU_B_170149,OTU_B_73408,OTU_F_136641,OTU_B_76519,OTU_B_121783
89,OTU_B_78969,OTU_F_108778,OTU_F_37473,OTU_B_170149,OTU_B_78969,OTU_B_23956,OTU_B_42446,OTU_F_94989,OTU_B_56945,OTU_F_15700,OTU_B_42446,OTU_F_31566,OTU_B_170149,OTU_B_17455,OTU_B_17455,OTU_B_17455,OTU_F_31301,OTU_B_42446,OTU_F_110078,OTU_B_26279,OTU_F_52653,OTU_F_129651,OTU_B_73408,OTU_F_37473,OTU_B_26418
90,OTU_B_170149,OTU_B_73408,OTU_B_21438,OTU_B_76519,OTU_B_17455,OTU_F_247,OTU_F_247,OTU_F_1551,OTU_F_103950,OTU_B_731894,OTU_B_56945,OTU_F_247,OTU_B_78969,OTU_F_30925,OTU_F_37473,OTU_F_31301,OTU_B_42446,OTU_B_26418,OTU_F_136641,OTU_B_121783,OTU_F_30502,OTU_B_731894,OTU_F_30395,OTU_B_73408,OTU_F_247
91,OTU_B_26279,OTU_F_94989,OTU_F_136641,OTU_F_31301,OTU_B_121783,OTU_F_108778,OTU_F_52653,OTU_B_21438,OTU_B_73408,OTU_F_52653,OTU_B_21438,OTU_B_123159,OTU_B_26418,OTU_B_26418,OTU_B_76519,OTU_B_78969,OTU_F_12349,OTU_F_50873,OTU_B_76519,OTU_F_52653,OTU_F_50873,OTU_F_136641,OTU_F_50873,OTU_F_136641,OTU_B_23956
92,OTU_F_94989,OTU_B_26418,OTU_F_31566,OTU_F_37473,OTU_F_30502,OTU_F_31566,OTU_F_50873,OTU_B_54523,OTU_F_50873,OTU_B_21434,OTU_B_54523,OTU_F_94989,OTU_F_31301,OTU_F_94989,OTU_F_31566,OTU_F_94989,OTU_B_73408,OTU_B_121783,OTU_B_57059,OTU_F_50873,OTU_B_64987,OTU_F_52656,OTU_B_26418,OTU_F_1551,OTU_F_52653
93,OTU_B_26418,OTU_F_50870,OTU_F_94989,OTU_F_31566,OTU_F_129651,OTU_F_30502,OTU_F_136641,OTU_B_23956,OTU_F_50870,OTU_B_54523,OTU_B_64987,OTU_B_59739,OTU_F_94989,OTU_F_52653,OTU_B_21438,OTU_B_26279,OTU_B_26279,OTU_B_170149,OTU_B_123159,OTU_F_1551,OTU_B_731894,OTU_F_76464,OTU_F_94989,OTU_F_31566,OTU_B_123159
94,OTU_F_30925,OTU_B_17455,OTU_B_26418,OTU_F_30502,OTU_B_73408,OTU_F_30925,OTU_B_76519,OTU_B_26279,OTU_F_136641,OTU_B_42446,OTU_B_26279,OTU_F_122647,OTU_F_52653,OTU_F_136641,OTU_B_26418,OTU_B_121783,OTU_B_17455,OTU_F_52653,OTU_F_94989,OTU_F_94989,OTU_B_78969,OTU_B_78969,OTU_F_30502,OTU_B_121783,OTU_B_54523
95,OTU_B_123159,OTU_B_21438,OTU_B_76519,OTU_F_12349,OTU_F_94989,OTU_B_21438,OTU_B_26418,OTU_F_52653,OTU_F_107945,OTU_F_94989,OTU_B_76519,OTU_B_21454,OTU_B_29197,OTU_F_247,OTU_B_54523,OTU_B_21438,OTU_F_50870,OTU_F_76464,OTU_B_21438,OTU_B_76519,OTU_B_121783,OTU_B_21454,OTU_B_23956,OTU_B_54523,OTU_B_26279
96,OTU_B_121783,OTU_B_54523,OTU_B_78969,OTU_B_78969,OTU_B_26418,OTU_F_94989,OTU_B_73408,OTU_B_26418,OTU_F_108778,OTU_B_73408,OTU_B_26418,OTU_B_29197,OTU_B_42446,OTU_B_78969,OTU_F_136641,OTU_F_52653,OTU_B_26418,OTU_F_136641,OTU_B_21434,OTU_F_136641,OTU_B_42446,OTU_F_30925,OTU_F_122647,OTU_F_50873,OTU_F_15700
97,OTU_B_73408,OTU_B_26279,OTU_B_123159,OTU_B_26418,OTU_B_42446,OTU_F_50870,OTU_F_94989,OTU_F_30502,OTU_F_30395,OTU_F_76464,OTU_F_52653,OTU_F_50870,OTU_F_136641,OTU_F_76464,OTU_F_108778,OTU_B_42446,OTU_F_52653,OTU_F_52656,OTU_B_170149,OTU_F_15700,OTU_B_54523,OTU_F_247,OTU_B_17455,OTU_F_94989,OTU_B_76519
98,OTU_B_76519,OTU_B_76519,OTU_F_30395,OTU_B_26279,OTU_B_26279,OTU_B_170149,OTU_B_121783,OTU_B_76519,OTU_F_31301,OTU_F_52656,OTU_B_78969,OTU_B_121783,OTU_F_12349,OTU_B_26279,OTU_F_76464,OTU_F_30502,OTU_F_94989,OTU_B_123159,OTU_B_26418,OTU_B_26418,OTU_F_15700,OTU_F_50873,OTU_B_26279,OTU_B_17455,OTU_F_30502
99,OTU_F_76464,OTU_F_52653,OTU_F_52653,OTU_F_94989,OTU_F_52653,OTU_B_26279,OTU_B_54523,OTU_B_73408,OTU_F_52653,OTU_B_21454,OTU_B_121783,OTU_B_26418,OTU_F_30925,OTU_B_73408,OTU_B_73408,OTU_F_50870,OTU_B_23956,OTU_B_54523,OTU_B_42446,OTU_F_30925,OTU_F_94989,OTU_F_50870,OTU_B_78969,OTU_B_21438,OTU_B_73408
100,OTU_F_122647,OTU_F_1551,OTU_F_50873,OTU_B_23956,OTU_B_76519,OTU_F_52653,OTU_B_78969,OTU_B_121783,OTU_B_21438,OTU_B_78969,OTU_F_15700,OTU_B_26279,OTU_B_23956,OTU_B_731894,OTU_F_94989,OTU_B_73408,OTU_B_21438,OTU_F_94989,OTU_F_30925,OTU_B_42446,OTU_F_136641,OTU_F_52653,OTU_B_76519,OTU_F_52653,OTU_B_78969
101,OTU_B_21438,OTU_B_121783,OTU_B_42446,OTU_F_52653,OTU_F_136641,OTU_B_73408,OTU_B_26279,OTU_F_136641,OTU_F_129651,OTU_B_26279,OTU_B_73408,OTU_F_136641,OTU_B_21438,OTU_F_50873,OTU_B_56945,OTU_B_26418,OTU_B_78969,OTU_B_21454,OTU_B_73408,OTU_F_247,OTU_B_73408,OTU_F_31566,OTU_F_108778,OTU_B_42446,OTU_F_136641
