,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4
OTU_B_40226,1.176309414218966,0.1348936811986578,0.3507794291137217,0.6935519321169077,0.38773702537889215,0.32633701303850243,0.37465209736787813,0.15926242756913545,0.8351253682968008,0.06301036628674844,0.0,0.7664205814216929,0.0,0.03655633688279653,0.3136193978708716,0.49108537223981663,0.37586293651471,0.7328207683034421,0.8403493560644089,0.0,0.0,0.22578837552092465,0.6498743937044484,0.2562151052395288,0.4144108018948167
OTU_B_67783,0.11431381727891604,0.3534898974136351,0.26109433809009824,0.42735843738357965,0.2436645660102926,0.10981162353169438,0.4318802450836447,0.21494669443625286,0.07710585885847716,0.0,0.08403537089774148,0.0,0.0,0.0,0.5426605594721022,0.22780396784820756,0.8621586160932873,0.0,0.5314667761332076,0.6828702838407239,0.12767019496037524,0.05053476704890274,0.0,0.0,0.2740260447313847
OTU_B_78969,-0.5290231157992905,0.0,0.0,-0.26147632609164506,0.0,0.0,0.0,-0.27066569498203485,0.3913212140682753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0697825744087281,0.0,0.0,0.0
OTU_B_64987,-0.4825551987779072,0.0,0.0,-0.19725412461112693,0.0,0.0,0.0,-0.4578706428572104,-0.30123955179033307,0.0,0.0,-0.4925538969886447,0.0,0.0,-0.2924878399542598,0.0,0.0,-0.3270099998942052,0.0,0.0,0.0,-0.07496558505526586,0.0,0.0,0.0
OTU_B_86805,-1.1648829104904495,-0.9331771584671128,-1.2407160177262042,-1.2458777360673914,-2.2238423067370667,-0.47198409513296297,-1.8751595005751078,-1.532958070556933,-1.9416692676872291,-1.5728929057296732,-1.0355432768999748,-1.4468093702085039,-1.0494538046288573,-0.0930260670215597,-1.7862988996127442,-2.0277599960783865,-2.1378817731959496,-1.4039461116769005,-1.8340399356893902,-1.3701360535908695,-0.9846871783821665,-1.7525047976400807,-1.285562496864757,-1.779854015191025,-0.8915429098609224
OTU_B_17455,0.1962691242697772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41319983501339236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6443773549492113,0.0,0.0,0.0,0.0,0.0,0.0
OTU_B_38079,-1.6039389663172718,0.0,-0.14499977952727106,-0.7760790990635628,-0.5278021453374433,0.0,-0.6321392571422839,-0.9196703632762754,-0.7384559000494436,-0.3139156018074082,-0.027169293412720966,0.0,-0.9314382634971086,-0.051751567594723505,-1.0440200881182315,-0.9064937072216332,-1.21575483461226,0.0,-0.4042953244761095,0.0,-0.07824425509191432,-0.6647905494260125,0.0,-0.6563832298038406,0.0
OTU_B_42446,-0.591703746700027,0.0,0.15289409630368075,0.7532646966479228,0.0,0.08096199477595861,0.0,-0.3878791166125895,0.24377010082969863,0.3469565293004499,0.2448140550751955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006212091077940932,0.2089572505340014,0.18173919958502388,0.0,0.0,0.0,0.4757430034541066
OTU_B_123159,0.06636009841160162,0.0,0.0,0.7780175331948391,0.0,0.0,0.0,0.0,0.15553961348191972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1516138291928715,0.0,0.0,0.0
OTU_B_15904,-0.9276337116869847,0.0,-0.6212440140142503,-1.1914091974659669,0.0,0.0,0.0,-0.9298119576589827,-0.61410804920619,-0.801259162275481,0.0,-0.4187572479971503,-0.255958296359529,-0.1383393185017518,-0.9919417464557055,-0.05778266902151537,-1.384091346704606,-0.055821668404501854,-0.6061056752638891,-1.1943285974559756,0.0,-0.374679352144238,0.0,-0.8625098211050554,0.0
OTU_B_13461,0.7741019050832427,0.6463440380434905,0.3630736586984205,1.6651365664121807,0.7497054920963488,0.10287717194744492,0.5543562337869968,1.0631826846790626,1.2783250997049171,1.3724036421002828,0.7066855524018011,1.4463414247417867,0.7154695963363988,0.40212772167579497,0.6220080862142988,0.5795669088258851,1.1929576483812727,0.9006379264726133,0.590555150011345,0.6366824796068422,0.5406196228253906,1.5494964408244707,0.6446259339412813,1.0526986246307548,0.4747607099142092
OTU_B_140508,-1.0495974538044204,0.0,0.0,-1.488966130796821,-0.3727933801003453,0.0,-0.061878551142760335,-0.9890686041735096,-0.9483554552011099,0.0,0.0,-0.8631526301932944,-0.32346382509247573,0.0,-0.37870426334756346,-0.4822275671056686,-0.35138921256798905,-1.0928970802309932,0.0,-0.7727883091865175,0.0,-0.7371189747504369,0.0,-0.6938315232439485,0.0
OTU_B_553579,-1.0559022556418842,0.0,-0.40415237273143734,-0.8662771965642561,0.0,-0.04100028691529185,0.0,-0.5703347062176719,-1.0044554831010193,-0.030265674893837392,-0.043025475512792996,-0.4907785753299819,0.0,-0.045112887780480594,-0.857478730168589,0.0,-0.4474168216975786,0.0,-0.1746104220357725,-0.5881147331411548,0.0,-0.499447658422035,0.0,-0.3209611372988177,-0.036288177302499385
OTU_B_54523,-0.9275620026181007,0.0,0.19072738578511403,0.5873582326881341,0.18812942746209985,0.2956997159077852,0.0,0.0,0.05493607060312492,0.0,0.0,0.0,1.0849010331894149,0.29069786086327337,0.0,0.0002571166451352804,0.7054338368388713,0.0,0.18193440298896976,0.0,0.0,0.6871281599944776,0.0,0.0,0.0
OTU_B_54487,-1.6574343606037187,-0.3872182303126036,-0.4123198295824151,-0.65534894574355,0.0,-0.1389243749485301,-1.0899890930961333,-1.1700449309602359,-0.9369540043805001,-0.4903351315929374,-0.8921807982828353,-0.4754176058778864,-0.4262725516309434,-0.6373576236465348,-1.0221482820584398,-1.6308387281561647,-0.6378373401701319,0.0,-0.887051169546584,-1.7543325940702403,-0.5571312263861302,-0.8998924537773267,-0.3564103675851132,-0.9877472202426707,-0.5782900825579211
OTU_B_40108,2.1448904206068846,1.1990232447703093,1.0143276948678388,1.5983887013173022,1.279066772365327,1.3929333810855804,1.5687806418599546,1.6705416984094714,1.170677761520056,1.2808175355835634,1.1116565196289745,1.366722684433386,1.7964527785580955,0.9894262019226424,1.2194689066375222,1.390599113067804,1.4286521383235868,1.3086966962099496,2.1787799857664374,1.5173832863809775,1.0329794439707207,1.168125323993818,1.2273927360706685,1.2999669319878258,1.1520196670207001
OTU_B_26418,-0.6334016429960702,0.0,0.0,-0.14906404224430678,-0.5163727993033379,0.0,-0.17712691689933135,-0.8251627919325608,0.0,0.0,0.0,0.0,-0.31425163427787595,0.0,-0.5169139127517896,-0.8518469335290639,-0.26090971514165434,0.0,-0.2891318992840669,-0.8810152800767804,0.0,-0.18101490439552143,0.0,0.0,-0.1624601258693566
OTU_B_54425,-2.149197718965853,-1.2012754522595972,-1.2059596810792064,-2.046038500396583,-1.9651455163169738,-0.5818456406687873,-1.8101206563738736,-2.2273541409108955,-2.4183056272889707,-1.4729470411739916,-1.099869226712734,-1.822967564036523,-1.9078716898666828,-1.521689986663978,-2.1602543195451576,-2.497126845726031,-2.1032419713703843,-1.5671523559491545,-0.6519737004252285,-2.2274606839947864,-1.1939248129334228,-1.9654693588999654,-1.263287656138356,-2.020866035687891,-1.2233716524680156
OTU_B_21434,-0.6346334515942434,0.0,0.0,-0.024526618824133758,0.0,0.0,0.0,0.0,-0.13130805814847168,0.0,0.0,0.0,0.0,0.0,-0.2702478037208157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_B_21438,-0.5141472101286677,-0.03528587099752132,0.0,-0.9260439799820009,-0.4277118997577177,0.0,-0.1835666159649868,-0.4751157940108565,0.0,-0.8311163205204333,0.0,-1.0902455797833195,-0.12272907927042886,-0.2557267385961154,-0.6062852451294771,0.0,-0.1447665675008512,-0.5406733716349871,0.0,-0.10929353975427862,0.0,-1.1747000012845095,0.0,0.0,-0.17405059456567865
OTU_B_170149,-0.13911288430381244,0.0,-0.017581278562762523,-0.10084408491184646,-0.20803257497849223,0.0,-0.16242545900451688,-0.30359040511729307,0.0,-0.07620600822797478,-0.11361018709911254,0.0,0.0,0.0,-0.11507814415573628,-0.4912440054420883,0.0,0.0,0.0,-0.32413750456296625,0.0,-0.43670907335605774,0.0,0.0,0.0
OTU_B_40091,1.1209405410258575,0.0,0.26751441236023216,1.0134396727410913,0.0,0.12311174190137333,0.0,0.937902093512642,0.8982393992885661,0.0,0.0,0.0,0.24479526684913525,0.0,1.119785828263261,0.0,0.9209381153887148,0.26808624651036694,0.22323022075843582,0.0,0.0,0.3011810285788025,0.0,0.5140084886340497,0.0
OTU_B_14674,0.9445070944224485,0.0,0.0,0.10044070860388621,0.0,0.0,0.0,0.46591735955300273,0.07032021328672733,0.0,0.0,0.0,0.0,0.0,0.18216350850771929,0.0,0.14649071570783515,0.0,0.3808831451373796,0.0,0.0,0.0,0.0,0.0,0.0
OTU_B_731894,-0.6128953895558048,0.0,0.0,-0.4691372132066902,0.0,0.0,-0.2139041393788395,-0.03100966662991028,-1.0366790125259457,0.0,0.0,-0.8358393186752996,0.0,0.0,-0.12526127331965237,0.0,0.0,-0.4710834892771035,-0.18134625392586431,0.0,0.0,-0.29854486352375126,0.0,-0.8586581902193243,0.0
OTU_B_21457,-1.5787170325843474,-0.08141492337883688,-1.4557496095727,-0.7153315104591781,-1.7375603272565845,-0.6376324610069845,-1.7281836454814115,-1.8788330503524509,-0.8646258377392332,0.0,-0.7989557596369847,-0.26662998416781836,-2.688753447745965,-0.8990751049256399,-1.89693126316057,-2.2184052719734315,-1.7645550590089447,0.0,-1.7654353716787077,-1.4001667301102354,-0.8097917159275476,-0.5402838581697056,-1.7343138499786988,-1.007548819507087,-1.1992585221269116
OTU_B_21454,0.4034981138363645,0.0,0.0,0.027932311838156188,0.0,0.0,0.0,0.0,0.18150662146728883,0.0,0.0,0.0,0.0,0.0,0.1444741219054341,0.0,0.0,0.0,0.09302305564877796,0.0,0.0,0.008366095743944221,0.0,0.0,0.0
OTU_B_121783,-0.5777417130423368,0.0,0.0,-0.027445627241771214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_B_59739,0.31734872188947433,0.0,0.0,0.4897062269278802,0.0,0.0,0.0,0.02646968487941404,0.3085608289768181,0.0,0.0,0.0,0.7062190246096081,0.5228262301571722,0.18943065852527552,0.04427937448986033,0.8495453249903794,0.0,0.05671727226341381,0.0,0.0,0.011323992769380587,0.2288181629814665,0.5864058483158137,0.0
OTU_B_29197,0.6326917568156032,0.3176232952705599,0.0,0.5904551351626511,0.0,0.07164831021646983,0.0,0.13256265009421667,0.9519938871042098,0.25036587841887636,0.417014414073474,0.0,0.0,0.0,0.40752586349903447,0.3352307459998095,0.4257143974780325,0.0,0.3373468484136652,0.024359963817616678,0.13622702138693538,0.4404758654811966,0.0,0.7757390683548357,0.14574643010424723
OTU_B_23956,-0.9679808376704498,0.0,0.0,-0.36006693325986083,0.0,0.0,0.0,-0.04863391585773652,-0.8495524996357678,0.0,0.0,-0.019886500141463762,0.0,0.0,-0.6124199796344881,0.0,0.0,0.0,0.0,0.0,0.0,-0.6731411439179388,0.0,0.0,0.0
OTU_B_56945,0.25815507396981796,0.0,0.0,0.5545213881963154,0.0,0.0,0.0,0.17700603597273487,0.0,0.0,0.0,0.4609021409917556,0.0,0.0,0.0,0.007121406407785573,0.0,0.0,0.11225046989419382,0.45242383571739203,0.0,0.0,0.0,0.08295508426250087,0.0
OTU_B_57059,-0.4556676293298381,0.0,0.0,-0.32566969906304005,-0.07509635500933735,0.0,-0.07062367628411824,-0.08074933280160076,0.0,0.0,0.0,0.0,0.0,0.0,-0.24152301550514801,0.0,0.0,0.0,0.0,-0.7581019770324793,0.0,-0.18291591498937818,0.0,-0.26271737026662423,0.0
OTU_B_57075,-0.9857086733363898,0.0,0.0,-0.5079292325361081,0.0,0.0,0.0,-0.6949966535421808,-0.09113127150954575,0.0,0.0,0.0,-0.1955657241620444,0.0,-0.6212941370158811,-0.1367148594353152,-0.3562759985559399,-0.04959213022879894,-0.6163637871373057,-0.002146784960719221,0.0,0.0,-0.3677758451276202,-0.07550433423121254,-0.08896605897421989
OTU_B_76519,0.3867253833847282,0.0,0.0,-0.1499263117168312,0.0,0.0,0.0,0.05770849122596477,-0.2661783717508422,0.0,0.0,0.0,0.0,0.0,0.09598238935605909,0.0,0.0,0.0,0.0,0.0,0.0,-0.15260454234738616,0.0,0.0,0.0
OTU_B_27711,-0.477338847178254,0.0,0.15589103457877537,-0.891045045621449,0.0,0.0,0.0,0.0,0.9129741472533961,0.0,0.0,0.0,0.0,0.0,0.20060819534944216,0.0,0.0,0.35997796746234334,0.0,0.0,0.0,-0.415598144289904,0.0,0.5471745892431137,0.0
OTU_B_26279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19833932522094216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_B_22182,-1.0853739902612185,-1.0394343047987225,0.0,-0.4035530049009092,-0.7601028600548586,0.0,-0.48649493855006776,-0.7572532660189424,-0.8716085542310112,-0.28264468823998984,-0.8102732305303285,0.0,-0.5216401659736952,0.0,-1.1297610574349881,-0.8475562218650006,-0.47828168398163823,-0.5810325834070346,-1.2058430421730137,-0.48171281049713144,-0.46881844220791163,-0.34455007842192426,-0.07678713877207619,-1.1128105854687604,0.0
OTU_B_65162,-1.0361639222659704,0.0,0.0,-1.2455655177689209,0.0,0.0,0.0,-0.8062037069956867,-0.8601725555221738,0.0,0.0,-0.9708347909695099,0.0,0.0,-0.29631394210347667,0.0,-0.22771380017887988,-0.42302080734549496,0.0,0.0,0.0,-1.7057456998552016,0.0,0.0,0.0
OTU_B_416914,0.552205905998058,0.0,0.0,0.5720289988909648,0.31726100896759724,0.5135243219648951,0.0,0.44667120998361504,0.1917970376342856,0.0,0.10351039431270999,0.0,0.0,0.0,0.687544959044774,0.0,0.28428725137853117,0.0,1.1525514444497618,0.0,0.0,0.1478044793040672,0.17679433722855387,0.09750272931713047,0.0
OTU_B_73408,0.21877799969300715,0.0,0.0,-0.11366906557743259,0.0,0.0,0.0,0.24261193058259536,0.0762776417822663,-0.44592900970261407,0.0,0.0,0.0,0.0,0.0,0.0,-0.01508120066574384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_F_99195,-1.0007892264776022,0.0,0.0,-1.1136190376529003,-0.18415275216649685,-0.024354710546234823,0.0,-0.9128054026985696,-0.6169508690767952,-0.5297717310720493,-0.059875369202041895,-0.9505773274368275,-0.8836412818680307,0.0,-0.7687321812299518,-0.40277545777954676,-0.13875224847190937,-0.2978816118666967,-0.9167354474661729,-0.08100281292387347,0.0,-1.0054291758791185,-0.2227349912945169,-0.4553209705336222,0.0
OTU_F_25540,-1.000709743534524,-0.4920380310879078,-0.33827552021383556,-0.6089971771651248,-0.5402715696846944,0.0,-0.550540392758223,-1.3267209611136945,-1.867162300988323,-0.1279993956068543,0.0,-0.9101164877044491,-0.21973042949125254,-1.0774169667020757,-0.8763365039700933,-1.3377616295051267,-1.0044928794574606,0.0,-0.6609574831196442,-0.9689352154536122,-0.14405823906957604,-1.1705539657348007,0.0,-1.6461002104176947,-0.20776310496516087
OTU_F_15700,0.5316634404907065,0.0,0.0,0.2642599486988533,0.01802494537735568,0.0,0.0,0.22902953069184084,0.7736461146663114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13958381915963974,0.0,0.0,0.4488352351092759,0.1704301023183516,0.4802388969453373,0.0
OTU_F_40080,-0.4161244583280379,-0.11165158590402335,0.0,-0.5414308175181538,-0.06784785925059475,0.0,-0.473199485022342,-0.19687481722613573,0.0,0.0,0.0,0.0,-0.7859043140767029,0.0,-0.49540445464693045,-0.7070933166903451,0.0,0.0,-0.5873545963304668,0.0,0.0,-0.5019917122622952,0.0,-0.5217909784152615,-0.37586851372394187
OTU_F_55643,-1.293581007425965,-0.17857415822500422,-0.3459399022974464,-1.4368435332199794,-0.924797812269417,0.0,-0.7652765882181964,-1.5401611666601804,-1.089120918947313,-0.755715354788776,0.0,-0.6186939874411257,-0.8610450728941164,-0.7589888875504938,-1.3977548552556642,-0.829975979149241,-1.1928852705461865,-1.088207604589452,-0.5521401731022249,-0.7065132645630423,-0.43140766547416937,-1.1498508830448084,-0.35180924272698416,-1.1317196683073587,-0.23968044498733856
OTU_F_21449,1.7527201769178007,0.3893324127395435,0.6504007896478445,0.14004178763589534,0.3906006530218996,0.2939508716821901,0.16487553749625203,1.627859914641933,2.40680810449928,0.0,0.2218050112588336,0.3281144213043452,0.7648178988863615,0.13418282245237168,1.6197034437867703,0.6144183841248876,1.2793590463713458,0.39528056679227386,1.3106674538213985,1.0754409080505796,0.2673265575369374,0.0,0.44406026773362745,1.5733389550209955,0.6057408094615215
OTU_F_37473,-1.0744151091735021,0.0,0.0,-0.17025328348771998,0.0,0.0,0.0,-0.5415895435365041,-0.40776991230052617,0.0,-0.11134673524750921,0.0,0.0,-0.0065951480100562765,-0.20484903410031238,-0.24320802435457148,-0.6084206509849724,0.0,-0.047010532197974304,-0.22388889257533756,0.0,-0.9560697168008926,0.0,0.0,0.0
OTU_F_31301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10348120529759107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_F_40614,-0.8768861951061023,0.0,0.0,-0.3084688048961106,-0.09913628486770752,0.0,0.0,-0.4778983811193763,-0.8965023237056207,0.0,0.0,-0.27030839258502787,-0.9582141594472706,-0.0962381287319159,-0.8508154968024726,-0.12474546074178791,-0.33115587382041545,0.0,-0.38754800880381407,-0.507287471356208,0.0,-0.09577061273743448,-0.1395646329830276,-0.36473712775567496,0.0
OTU_F_30509,1.7158497440611202,1.3417715568172082,0.9871150741085375,1.5604322115064793,1.7774800558639394,1.0183667188319718,2.1062508665540394,1.6644624823405763,1.5383141155047164,1.3441859845305957,1.2590890079823556,1.720504821648908,1.697873007139189,1.5596509951852267,1.6942728149444002,2.0229277960244296,1.5916925813293659,1.8074524731736727,1.6992786809400078,1.8487740984214442,1.2133746045917007,1.665003815635128,1.2533184486937974,1.851072351921888,1.13335918980692
OTU_F_30502,0.4002806589004382,0.0,0.0,0.22156744267997952,0.0,0.0,0.0,0.0,0.3373569979771618,0.0,0.0,0.0,0.0,0.0,0.03328130601799212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_F_50873,-0.2239843236941045,0.0,0.0,-0.025124352386044286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09854347200012087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10173649532649172,0.0,0.0,0.010172766345547344
OTU_F_68256,1.3332139478609089,0.1935635162454473,0.0,1.3625322447700712,0.7944300529594479,0.3127556710333935,0.5967843383452753,1.377118701153921,1.2460557253638407,0.20466248788683697,0.6835438929097845,0.8360995702753725,0.10637407704447402,0.5513481415170961,0.654028173084077,0.3016217072876566,0.9521941456146853,0.18267196199535324,0.7675350039873362,0.6333651503565381,0.7383827761546423,1.0345919571869338,0.4464037233342499,0.9893778944510064,0.0
OTU_F_68259,0.09594812976154686,0.0,0.0,0.0,0.0,0.0,0.0,0.02235085670852359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13920280891572687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_F_93747,-1.5166529670413533,-1.3144061915124916,-0.5764223112232105,-2.2068904957040454,-1.220223677300253,-0.3101552213598635,-1.244558655742327,-1.2353040752612334,-1.8304923948051073,-0.8937039352499951,-1.487832080473051,-1.3376403798537058,-2.064623545480907,-0.6226538439131966,-1.5306289271215623,-1.6135750013809766,-1.941424912549336,0.0,-1.2522538819393199,-1.7129596484967753,-0.6228016281405881,-1.7378121302074894,-0.40770116636445486,-1.485842454208113,-0.7203866854357139
OTU_F_30854,-1.1229010344495274,-0.5279271019537596,-0.5131748292612545,-0.6266090859697659,-0.9444702265642547,-0.533340944020319,-0.6903882656106586,-0.6506359080957009,-0.8930370317349553,-1.138570362684117,-0.705585143465568,-0.6733121972230326,-1.0250413481347351,-0.33356333470849575,-0.9069568567236582,-0.9515503725724599,-0.6558849456807434,-0.7360613342351338,-0.9815268564090208,-0.19612722516607325,-0.49653111713983167,-0.8622969557874813,-0.804584812174002,-0.7253452339201867,-0.8308241160178649
OTU_F_30486,1.0848417343992636,0.0,0.2970194162395514,0.8157958903647411,0.0,0.007553202312346336,0.3394309741758896,0.4736302687628628,0.9883238452009254,0.02283259730676951,0.030983823429013086,0.32810973706256985,0.5681045137929185,0.0634755701020247,0.6254415344055964,0.12800385740508957,0.7419451814349715,0.27920742036427265,0.8845371122197959,0.38570865919109043,0.1365039789346834,0.9207287765065493,0.0,0.6030573803584394,0.04645147309212207
OTU_F_81595,2.638316607821595,1.265862342832396,1.1106407660977635,2.069084513684795,2.146572472490348,0.9629427262308489,1.4839131121107743,2.7314175078899554,2.018625142801131,1.9144930753626757,1.4848670513634403,2.1609386628172738,1.8472322102153915,1.4383396281757295,2.4558590508432445,2.160176451581756,1.5963132010192613,1.6139453174946152,2.7189782935718085,2.536291245199321,1.6834630640933428,1.9357581704380415,1.4655547266544147,2.0890982626894337,1.091966066360915
OTU_F_54660,1.5635665335559812,0.4780195433571464,0.8091325197103334,1.1164867191139953,0.7718779962269819,0.9828210743846286,0.472992697786001,0.9014837164257217,1.352133379555884,0.5562226482437344,0.6254118703684115,0.35937347996584845,0.535478845373846,0.5442661401521924,1.268003991110865,0.583067991413459,0.7555328167367097,0.43589933302111394,2.243609750659691,0.6293699913640992,0.4239489767635565,1.1004683280578866,0.6988268150780239,0.7718708356714327,0.4666357585244165
OTU_F_76464,0.0,0.0,0.0,0.5694975946172621,0.0,0.0,0.0,0.35367491480258495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24163226138263982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU_F_110078,-1.2139944195954198,0.0,0.0,-1.2804569158985453,-0.1473296653454305,0.0,-0.2854674868164715,-0.561211915497216,0.0,0.0,0.0,-0.8758437984258051,-0.8626717697761253,-0.09703676912525218,0.0,-0.19569831001311386,-0.87230957920312,-0.2535709534244337,0.0,0.0,0.0,-0.6134930631129346,-0.0961912893750964,-0.12776698391592375,0.0
OTU_F_94989,-0.2536003328715152,0.0,0.0,-0.014143458365794353,0.0,0.0,0.0,0.0,-0.3304912817506839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049184443328185036,0.0,0.0,0.0,0.0,0.0
OTU_F_39466,-1.698273534981335,0.0,-0.647738727635216,-1.8829603249824263,-0.13158530192194753,-0.4668414763579816,-0.663049119681078,-0.5778727843532632,-1.7420593803121402,-1.0295241063749914,0.0,-1.7687016674957297,-1.4777185417705696,-0.8475087930035461,-0.9879515855916267,-1.4142726085348036,-1.5923264359609293,-1.0618500834563078,-0.20410318773252026,-1.228352623290465,-0.7895917699070025,-1.5281976016027845,-0.7947915572772914,-1.196034337346357,-0.7653281328702468
OTU_F_138012,3.4324333802206572,1.2230324173053908,1.445984955253961,2.662816017571199,3.0458877142077134,1.1219197654445634,2.462059804360878,3.316316383022862,2.7986080628962284,2.336105851549042,1.5321846206803074,1.7514443225291871,2.075870345851415,1.6818534850337892,3.5417813265552742,2.82663576095499,2.6229283024176806,1.618720815669244,3.5569080904442365,2.805539794627948,1.3188849621628298,2.93519441704935,1.3530869915893038,3.1243402983616817,1.3564799105453378
