,Run_0_CV_0,Run_0_CV_1,Run_0_CV_2,Run_0_CV_3,Run_0_CV_4,Run_1_CV_0,Run_1_CV_1,Run_1_CV_2,Run_1_CV_3,Run_1_CV_4,Run_2_CV_0,Run_2_CV_1,Run_2_CV_2,Run_2_CV_3,Run_2_CV_4,Run_3_CV_0,Run_3_CV_1,Run_3_CV_2,Run_3_CV_3,Run_3_CV_4,Run_4_CV_0,Run_4_CV_1,Run_4_CV_2,Run_4_CV_3,Run_4_CV_4
OTU_B_40226,0.20882804606014937,0.09393024867363102,0.12285179785925462,0.1025634643663865,0.04616101284515409,0.17623163104142336,0.1601848456472511,0.07069418901828864,0.12695185636686382,0.1295155566800062,0.08931205612791449,0.1367993846647667,0.08142333662662592,0.02515668215300501,0.1221944842045199,0.16781569496416515,0.07587566915427768,0.2459959159531233,0.11521176451221182,0.026360073918561364,0.08326610786451598,0.02129644866414954,0.17191912061424108,0.15278629483432113,0.17959557303121998
OTU_B_67783,0.025961200262183848,0.10040186246192173,0.1408214854326034,0.10403649569126193,0.1766922029204125,0.14720186725670792,0.2630676921176952,0.07707309091265956,0.05648234929616993,0.05180000997392149,0.14895463562755867,0.009318494238743754,0.11267956176586517,0.1255533521039229,0.210430408800754,0.20949190248060867,0.22677596920579762,-0.01664107057111451,0.14723375616634074,0.1405276535154029,0.1975601456505635,0.10856247929444089,0.06079871490692035,0.11717075979927144,0.15875516040043772
OTU_B_78969,-0.11061052164766197,0.08399209366372923,-0.06207105122995542,-0.030790505023581473,-0.07286582765058314,-0.05656062161881681,-0.08949820814173133,-0.07922112635006587,0.07305958589459566,-0.0076953883504225495,0.009020262484343384,0.03458736642329403,-0.05111491255752769,-0.052712327987372215,-0.015038374311319186,-0.04225193870900389,-0.019669085765254737,-0.004567227398173834,-0.06374824031358112,0.0714497968951805,0.004611187060394963,-0.04362783667783984,-0.028924226739839076,0.014460336803135243,-0.07737362837061527
OTU_B_64987,-0.06706581175236345,0.014953598274044199,-0.06393924148897556,-0.026217231622393,-0.11101940509594968,-0.023289613432585454,-0.07054207449432459,-0.13515591348170186,-0.056927904264565,0.006992276809585585,0.037433825086921176,-0.1388437792498337,-0.08384600866045394,-0.007598793249751018,-0.09387022435797958,-0.07072137766003511,-0.09496159029317772,-0.12412492369560685,-0.04134192850377422,0.0002074527361551684,0.009057439551164587,-0.04775978245902965,-0.10173267538315706,-0.10524038505917488,-0.025256104401110896
OTU_B_86805,-0.2466138843686945,-0.32514397120209937,-0.3272487501418554,-0.20908829175283106,-0.3731535704709117,-0.27790158226551365,-0.3190786894936707,-0.29828727939013816,-0.3265549670109666,-0.2616828731270401,-0.34806328155982075,-0.25967696031225,-0.27670227437170614,-0.1991354402767145,-0.3482967749202732,-0.3510997133977054,-0.34702212549104505,-0.2575620567254314,-0.33262210657101643,-0.35507413498987755,-0.3822626951199832,-0.2797739118924532,-0.32537072022729596,-0.3409946162520846,-0.27343901403913506
OTU_B_17455,0.044983773096298155,-0.02560332022459944,0.040615782103524734,-0.012471038174277735,-0.08912847301845549,0.028467595787004182,-0.002429845184926685,0.007865020988160339,-0.0579227019073942,-0.02827574207114405,-0.018816809432739647,0.013838753434183764,-0.026253960288806062,-0.033103133032837226,-0.020326601403889796,-0.05104818254628164,-0.03163891900004978,0.0108489230010302,0.10809379971793408,0.05986094425402226,0.04246804406695851,0.01640702357482811,-0.057733668653743304,-0.07650319111140738,-0.00431367159919073
OTU_B_38079,-0.2281918478852435,-0.15938419874571805,-0.1640303622885588,-0.12727795665282027,-0.20373982567777338,-0.24810379555813794,-0.21858662242222493,-0.18306588643923374,-0.14219271367432004,-0.1661649786206574,-0.2247450737945445,-0.050156155468440586,-0.2561431109054679,-0.2530422222226187,-0.18476832039515634,-0.20522574941175173,-0.2638087533575515,-0.2909336504936195,-0.14369569524082695,-0.15774438482547684,-0.23865871633182806,-0.15465704609817718,-0.20675592354443917,-0.17922596193152673,-0.21440276236716985
OTU_B_42446,-0.12656332251641284,0.050308095664170646,-0.03764230783096369,0.11990062130715387,0.048917263582003656,0.12672002618733513,-0.011898229015405479,-0.1455527107780077,0.052798598374886534,0.1471059649532331,0.11374930644885967,-0.01800084426550476,0.08930321399064392,-0.07963195371916498,0.022984215476948844,-0.012678252055046663,0.03431396625479036,0.08673283797246019,0.00951584656026852,0.10487421597542292,0.12040511460466746,0.024511038149792608,-0.0686933512257651,0.05892880620664433,0.11379885216601658
OTU_B_123159,-0.039835731337470634,0.00430731741075727,-0.0033029182956405,0.09935943720265085,0.058006369466743105,0.024043811171390185,0.014854215484433414,0.02647552064533456,-0.009700535520726982,-0.016918156341519115,0.02141761811818589,0.006582719703308339,0.05079799283036833,0.0972628270806401,-0.006319598329982953,0.018467126417744922,0.05015850709373647,-0.08157224183044079,0.008557697455036706,0.06071401377361349,0.003217994901653254,0.06421492729798639,0.028346108685324903,-0.005123718623208387,-0.043892887219551466
OTU_B_15904,-0.18961130202580231,-0.1734135568244184,-0.2819508599253506,-0.2003527955613022,-0.14483020065666125,-0.24252382883261883,-0.15775135946004448,-0.21851658645550184,-0.10451465169344802,-0.19254690658401985,-0.22904823374150288,-0.1312249261772603,-0.1678076409965934,-0.23412095676669423,-0.22497417405782855,-0.1615273308809548,-0.20236478276991077,-0.15833465997536872,-0.16940972176710403,-0.2432079255383122,-0.20302798407060357,-0.13655159292215424,-0.19938087338729402,-0.1922980625521029,-0.1832044177656634
OTU_B_13461,0.10284015439465963,0.15997826488337097,0.09098336930474207,0.1812956193676309,0.104368936538385,0.05251342236532536,0.11128945412065933,0.12523985942654284,0.12168088998259723,0.21861386505998093,0.08525846173720747,0.187658140535798,0.14030412919458535,0.10022712230994654,0.07742558867296287,0.07486967616229918,0.14347507604323867,0.1629350487321545,0.16299803121843445,0.07214360958163785,0.08719237406224517,0.16548787060159367,0.12007203286718589,0.10792801724650372,0.08601292354102279
OTU_B_140508,-0.16471350648639926,-0.10373366131400034,-0.12043574487863816,-0.21067058021285462,-0.19272193218564682,-0.19639909939337868,-0.17645524334805657,-0.18298874870251625,-0.1683610244806249,-0.16220320678564457,-0.13756859381832715,-0.19608748795119513,-0.181824654499093,-0.15356837146018731,-0.10276125614876326,-0.13972628186372799,-0.1722303612932583,-0.3486552807600275,-0.05060156695982668,-0.1835119477510404,-0.15997443143846882,-0.18372062804720118,-0.1673499429930183,-0.14140965426398755,-0.2481353989779802
OTU_B_553579,-0.11312726500502877,-0.14193900744154164,-0.260308217227877,-0.10431932567271868,-0.12344468290807944,-0.20920411792367205,-0.14263045136769498,-0.1067259782061839,-0.1449757896571589,-0.15860685690540172,-0.12856982448195914,-0.1546111129609964,-0.12462070618584667,-0.17844189025478518,-0.23052500219789157,-0.09294266981156933,-0.12465458549329088,-0.142887722670346,-0.05166393395569335,-0.2864911016351905,-0.11380065454570984,-0.16913319718790262,-0.12321681270267823,-0.1690902200878705,-0.17401739113931503
