0,p-value,Adj p-value
OTU_B_426000,0.137,0.3050184841511395
OTU_B_49308,0.071,0.18844530973451326
OTU_B_810769,1.0,1.0
OTU_B_801661,0.381,0.585427122291101
OTU_B_197459,1.0,1.0
OTU_B_49301,0.008,0.03319535141117875
OTU_B_49300,0.836,0.9699915664048899
OTU_B_49303,0.325,0.5331400754799541
OTU_B_49302,0.137,0.3050184841511395
OTU_B_49305,0.001,0.005457059679767104
OTU_B_49304,0.759,0.9065321173987496
OTU_B_139937,0.146,0.3156142424679256
OTU_B_49306,0.193,0.38336684548645605
OTU_B_731160,0.437,0.6432008637188987
OTU_B_1471016,0.001,0.005457059679767104
OTU_B_187491,0.908,1.0
OTU_B_733695,0.172,0.349192716442158
OTU_B_735201,0.093,0.22951172549987658
OTU_B_84691,0.003,0.014229954135695081
OTU_B_1104143,0.642,0.8106287205826632
OTU_B_735205,0.471,0.6759609532012633
OTU_B_158715,0.001,0.005457059679767104
OTU_B_724605,0.034,0.11001488833746899
OTU_B_735206,0.097,0.23694608242384751
OTU_B_70663,0.521,0.7161571107750127
OTU_B_70661,0.001,0.005457059679767104
OTU_B_70666,0.001,0.005457059679767104
OTU_B_70667,0.075,0.19643699240241025
OTU_B_70665,0.236,0.4482370970806155
OTU_B_91074,0.276,0.494344102717229
OTU_B_70668,1.0,1.0
OTU_B_70669,0.064,0.17396121080297264
OTU_B_621944,0.001,0.005457059679767104
OTU_B_1162986,1.0,1.0
OTU_B_743931,0.082,0.2098237351761795
OTU_B_265823,0.543,0.7220099308388013
OTU_B_1547885,0.287,0.5039639344262294
OTU_B_665926,0.001,0.005457059679767104
OTU_B_768292,0.002,0.010009010512264308
OTU_B_717092,0.001,0.005457059679767104
OTU_B_198303,0.648,0.815869023130851
OTU_B_819330,0.141,0.3101710429807833
OTU_B_168261,0.251,0.46839173718267796
OTU_B_156504,0.228,0.4362472727272727
OTU_B_1055147,0.001,0.005457059679767104
OTU_B_157385,0.542,0.7215759943181819
OTU_B_1859196,0.001,0.005457059679767104
OTU_B_1497295,0.001,0.005457059679767104
OTU_B_133024,0.001,0.005457059679767104
OTU_B_237034,0.027,0.09183306872306644
OTU_B_172945,0.109,0.25984643510054845
OTU_B_767054,0.031,0.10254240652917172
OTU_B_1451000,0.289,0.5051100233100233
OTU_B_146442,0.116,0.2726545454545455
OTU_B_1293279,0.001,0.005457059679767104
OTU_B_36156,0.019,0.06926558891454965
OTU_B_1129344,0.001,0.005457059679767104
OTU_B_36153,0.001,0.005457059679767104
OTU_B_758945,0.203,0.3988454634785457
OTU_B_432750,0.001,0.005457059679767104
OTU_B_1159424,0.001,0.005457059679767104
OTU_B_1855503,0.135,0.30236128743185725
OTU_B_819338,0.001,0.005457059679767104
OTU_B_146478,0.718,0.876159817723167
OTU_B_36159,0.183,0.36717527428418517
OTU_B_757411,0.789,0.9274422104644326
OTU_B_1919138,0.001,0.005457059679767104
OTU_B_132343,0.767,0.9118747373845484
OTU_B_734895,0.482,0.6850279107235938
OTU_B_757416,0.239,0.4524736775659639
OTU_B_130645,0.019,0.06926558891454965
OTU_B_314407,0.235,0.4469038107919599
OTU_B_757419,0.448,0.6553390235575282
OTU_B_1267211,0.158,0.3294678439824793
OTU_B_79390,0.682,0.8444265367625812
OTU_B_938791,1.0,1.0
OTU_B_79395,0.532,0.7191711355047687
OTU_B_91064,0.201,0.39569360026255335
OTU_B_91067,0.115,0.2710901516937829
OTU_B_46965,0.479,0.6824458695548905
OTU_B_1471666,0.257,0.475740278977904
OTU_B_404773,1.0,1.0
OTU_B_122384,0.05,0.1458329281338131
OTU_B_122385,0.386,0.5890658932478502
OTU_B_264999,0.307,0.5162626296607794
OTU_B_122381,0.055,0.15531117597213068
OTU_B_129457,0.624,0.795435566133968
OTU_B_641854,1.0,1.0
OTU_B_734898,0.536,0.7197220630372493
OTU_B_1518692,1.0,1.0
OTU_B_214520,0.037,0.11751604363020225
OTU_B_79196,0.06,0.1656864008838965
OTU_B_87101,0.046,0.13835058162855995
OTU_B_27573,0.19,0.37846051670319447
OTU_B_87103,0.789,0.9274422104644326
OTU_B_87102,0.159,0.33081706555671175
OTU_B_87105,1.0,1.0
OTU_B_171296,0.542,0.7215759943181819
OTU_B_27574,0.302,0.5126837606837606
OTU_B_27575,0.771,0.9141299810246679
OTU_B_91078,0.002,0.010009010512264308
OTU_B_156388,0.102,0.2463111111111111
OTU_B_641857,0.001,0.005457059679767104
OTU_B_46962,0.079,0.20425586206896554
OTU_B_1404429,0.001,0.005457059679767104
OTU_B_786213,0.362,0.5732670151539152
OTU_B_129183,0.306,0.515679721301343
OTU_B_135860,0.509,0.7097130636913064
OTU_B_120430,0.703,0.8638659400991519
OTU_B_129187,0.048,0.14204400592007893
OTU_B_724116,0.763,0.909137340590362
OTU_B_762873,0.04,0.12500573095759093
OTU_B_762870,0.131,0.29728753026634386
OTU_B_762876,0.37,0.5782117548978741
OTU_B_1384125,0.001,0.005457059679767104
OTU_B_762874,0.047,0.14019134758826454
OTU_B_319016,0.132,0.29854038157001733
OTU_B_217261,0.16,0.33220629975770166
OTU_B_1266680,1.0,1.0
OTU_B_79190,0.001,0.005457059679767104
OTU_B_319013,0.001,0.005457059679767104
OTU_B_439243,0.933,1.0
OTU_B_725460,0.469,0.6740582710369944
OTU_B_56975,0.717,0.8751531824841282
OTU_B_27619,0.019,0.06926558891454965
OTU_B_27615,0.549,0.7246867655472911
OTU_B_998407,0.001,0.005457059679767104
OTU_B_27612,0.209,0.4079614708753661
OTU_B_27611,0.219,0.4228304364619544
OTU_B_27610,0.001,0.005457059679767104
OTU_B_986490,0.025,0.08636258926514628
OTU_B_986492,0.031,0.10254240652917172
OTU_B_79129,0.135,0.30236128743185725
OTU_B_129987,0.17,0.3460458802769106
OTU_B_259279,0.54,0.7208331849741856
OTU_B_451462,1.0,1.0
OTU_B_29109,0.273,0.4915245527674391
OTU_B_743742,0.007,0.029632180663373326
OTU_B_171419,1.0,1.0
OTU_B_29100,0.847,0.9799870380371885
OTU_B_29102,0.005,0.022183431952662723
OTU_B_29105,0.001,0.005457059679767104
OTU_B_29104,0.511,0.7111462113127001
OTU_B_29107,0.003,0.014229954135695081
OTU_B_174131,0.001,0.005457059679767104
OTU_B_770028,1.0,1.0
OTU_B_907092,0.302,0.5126837606837606
OTU_B_300255,0.003,0.014229954135695081
OTU_B_1855996,0.097,0.23694608242384751
OTU_B_783960,0.064,0.17396121080297264
OTU_B_82058,0.014,0.05384560143626571
OTU_B_82059,1.0,1.0
OTU_B_131697,1.0,1.0
OTU_B_22954,0.255,0.47379259075703134
OTU_B_82056,0.024,0.08363053328685953
OTU_B_814178,0.276,0.494344102717229
OTU_B_1569587,0.001,0.005457059679767104
OTU_B_318041,0.076,0.19825971992693744
OTU_B_1569581,0.001,0.005457059679767104
OTU_B_789199,0.705,0.8654725553599933
OTU_B_418306,0.467,0.6725051135545206
OTU_B_123035,0.235,0.4469038107919599
OTU_B_119043,0.166,0.3401894089511445
OTU_B_790260,1.0,1.0
OTU_B_119041,0.216,0.41835789473684215
OTU_B_228208,0.001,0.005457059679767104
OTU_B_305992,0.155,0.32586289078928926
OTU_B_126601,0.108,0.2580779220779221
OTU_B_1033484,0.312,0.519543834323469
OTU_B_1269578,1.0,1.0
OTU_B_145927,0.046,0.13835058162855995
OTU_B_288685,0.026,0.0890376798355789
OTU_B_145921,0.271,0.48986451301832207
OTU_B_151389,0.066,0.1782184208157018
OTU_B_65081,0.295,0.5089530602853198
OTU_B_103972,0.124,0.2870047846889952
OTU_B_1295751,0.177,0.35711967709384457
OTU_B_65085,0.001,0.005457059679767104
OTU_B_897950,0.163,0.3358312839183898
OTU_B_1294289,0.144,0.3133687418371789
OTU_B_117061,0.568,0.739675046676219
OTU_B_366380,0.862,0.9945414118099634
OTU_B_117066,0.229,0.43782546057244853
OTU_B_680726,0.062,0.16975570567829104
OTU_B_653444,0.001,0.005457059679767104
OTU_B_588233,0.166,0.3401894089511445
OTU_B_111548,0.001,0.005457059679767104
OTU_B_131473,0.452,0.6591968879163628
OTU_B_653440,0.001,0.005457059679767104
OTU_B_653441,0.001,0.005457059679767104
OTU_B_111542,0.216,0.41835789473684215
OTU_B_1486303,0.045,0.13624470018170806
OTU_B_1481995,0.318,0.5254507189686519
OTU_B_145696,0.363,0.5739112282551396
OTU_B_120603,0.12,0.2801245330012453
OTU_B_120604,0.621,0.7924533889290729
OTU_B_145690,1.0,1.0
OTU_B_307046,0.001,0.005457059679767104
OTU_B_159545,0.001,0.005457059679767104
OTU_B_744020,0.645,0.813252616975659
OTU_B_184444,0.721,0.8787837607184947
OTU_B_26429,0.13,0.2959587065431911
OTU_B_307041,1.0,1.0
OTU_B_126463,0.299,0.5110330521996809
OTU_B_794322,0.713,0.871867574509724
OTU_B_376980,0.001,0.005457059679767104
OTU_B_1104022,0.149,0.3187906976744186
OTU_B_717335,0.037,0.11751604363020225
OTU_B_1103036,1.0,1.0
OTU_B_984108,0.538,0.7201185343865757
OTU_B_1531814,1.0,1.0
OTU_B_784062,1.0,1.0
OTU_B_65268,0.001,0.005457059679767104
OTU_B_214530,0.51,0.7104468183929401
OTU_B_65264,0.068,0.18251798818686238
OTU_B_759659,0.001,0.005457059679767104
OTU_B_65266,0.177,0.35711967709384457
OTU_B_65267,0.001,0.005457059679767104
OTU_B_65260,0.001,0.005457059679767104
OTU_B_65261,0.206,0.40352374110116906
OTU_B_65262,0.348,0.5599965661551669
OTU_B_908691,0.151,0.3210315446232367
OTU_B_92886,0.602,0.7745017158544956
OTU_B_857820,1.0,1.0
OTU_B_754259,0.076,0.19825971992693744
OTU_B_393182,0.304,0.5142742399458514
OTU_B_92883,1.0,1.0
OTU_B_393180,0.001,0.005457059679767104
OTU_B_778496,0.056,0.1572761494521959
OTU_B_759370,0.873,1.0
OTU_B_119451,0.736,0.8903723781865117
OTU_B_1546349,0.533,0.7191711355047687
OTU_B_132670,0.001,0.005457059679767104
OTU_B_150881,0.358,0.5698511835261649
OTU_B_603740,0.001,0.005457059679767104
OTU_B_114446,0.001,0.005457059679767104
OTU_B_790313,1.0,1.0
OTU_B_307594,0.734,0.8887774233921435
OTU_B_765065,0.723,0.8800769511749665
OTU_B_307597,0.003,0.014229954135695081
OTU_B_134738,0.74,0.8933735861208388
OTU_B_1518203,0.001,0.005457059679767104
OTU_B_165619,0.002,0.010009010512264308
OTU_B_908253,0.023,0.0808409703504043
OTU_B_808283,0.569,0.7406878472222221
OTU_B_1063868,1.0,1.0
OTU_B_109311,0.266,0.48465293724561087
OTU_B_741307,0.301,0.5122909998865054
OTU_B_742658,0.27,0.48908860300779133
OTU_B_733314,0.163,0.3358312839183898
OTU_B_686176,0.334,0.5440947259790343
OTU_B_449542,1.0,1.0
OTU_B_405217,0.001,0.005457059679767104
OTU_B_784284,0.609,0.7813624229979466
OTU_B_1077356,0.001,0.005457059679767104
OTU_B_744149,0.005,0.022183431952662723
OTU_B_730931,0.163,0.3358312839183898
OTU_B_930485,0.055,0.15531117597213068
OTU_B_122537,0.006,0.025978345604157644
OTU_B_726146,0.129,0.29455409212028927
OTU_B_484674,1.0,1.0
OTU_B_172165,0.246,0.4622537434997807
OTU_B_182919,0.157,0.32799832822513236
OTU_B_605747,0.06,0.1656864008838965
OTU_B_116335,0.036,0.11494857872884061
OTU_B_116336,1.0,1.0
OTU_B_763089,0.001,0.005457059679767104
OTU_B_856298,0.091,0.22602666666666665
OTU_B_773649,1.0,1.0
OTU_B_773648,0.045,0.13624470018170806
OTU_B_786027,0.002,0.010009010512264308
OTU_B_1078688,0.637,0.8066586725215336
OTU_B_304483,0.046,0.13835058162855995
OTU_B_1518201,0.001,0.005457059679767104
OTU_B_744488,0.46,0.6667465687222115
OTU_B_744378,0.324,0.5320234327949631
OTU_B_128469,0.015,0.057113114129744826
OTU_B_1057748,0.365,0.5753445104325433
OTU_B_436931,0.001,0.005457059679767104
OTU_B_121959,0.298,0.5104292404340377
OTU_B_313343,1.0,1.0
OTU_B_702380,0.054,0.15354266211604095
OTU_B_1289620,0.17,0.3460458802769106
OTU_B_657372,0.003,0.014229954135695081
OTU_B_62508,0.002,0.010009010512264308
OTU_B_62509,0.038,0.12006911083017277
OTU_B_264071,0.075,0.19643699240241025
OTU_B_122603,0.573,0.7444730549298214
OTU_B_122974,1.0,1.0
OTU_B_122977,0.563,0.7352708904855214
OTU_B_62504,0.002,0.010009010512264308
OTU_B_535137,0.001,0.005457059679767104
OTU_B_62507,0.809,0.9449150245346211
OTU_B_534841,0.001,0.005457059679767104
OTU_B_785884,0.007,0.029632180663373326
OTU_B_76490,0.002,0.010009010512264308
OTU_B_785886,0.008,0.03319535141117875
OTU_B_306881,0.228,0.4362472727272727
OTU_B_785889,0.003,0.014229954135695081
OTU_B_1330402,0.658,0.8236534223706177
OTU_B_817359,0.954,1.0
OTU_B_1058294,0.101,0.24436850596966764
OTU_B_587838,0.036,0.11494857872884061
OTU_B_785341,0.04,0.12500573095759093
OTU_B_900253,1.0,1.0
OTU_B_763181,0.001,0.005457059679767104
OTU_B_763180,0.001,0.005457059679767104
OTU_B_587837,1.0,1.0
OTU_B_918511,0.31,0.51831419333259
OTU_B_79371,0.003,0.014229954135695081
OTU_B_1463462,1.0,1.0
OTU_B_458476,0.524,0.7168639328559048
OTU_B_908062,0.145,0.31447248535685873
OTU_B_42481,0.012,0.04724389603570491
OTU_B_91080,0.411,0.6140023909145248
OTU_B_42339,0.001,0.005457059679767104
OTU_B_42338,0.001,0.005457059679767104
OTU_B_42334,0.285,0.5021867105340462
OTU_B_42489,0.001,0.005457059679767104
OTU_B_42336,0.001,0.005457059679767104
OTU_B_139232,0.032,0.10508529508376217
OTU_B_140421,0.066,0.1782184208157018
OTU_B_38159,0.66,0.8252269979572269
OTU_B_1436032,0.49,0.6922969662709628
OTU_B_909331,0.009,0.03681505728314238
OTU_B_911823,0.056,0.1572761494521959
